 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3, 300,   0,   1
 # Q, deltaE, Total
  0.000000E+000, -0.999966E+002,  0.000000E+000
  0.000000E+000, -0.993966E+002,  0.000000E+000
  0.000000E+000, -0.987966E+002,  0.000000E+000
  0.000000E+000, -0.981966E+002,  0.000000E+000
  0.000000E+000, -0.975967E+002,  0.000000E+000
  0.000000E+000, -0.969967E+002,  0.000000E+000
  0.000000E+000, -0.963967E+002,  0.000000E+000
  0.000000E+000, -0.957967E+002,  0.000000E+000
  0.000000E+000, -0.951967E+002,  0.000000E+000
  0.000000E+000, -0.945968E+002,  0.000000E+000
  0.000000E+000, -0.939968E+002,  0.000000E+000
  0.000000E+000, -0.933968E+002,  0.000000E+000
  0.000000E+000, -0.927968E+002,  0.000000E+000
  0.000000E+000, -0.921968E+002,  0.000000E+000
  0.000000E+000, -0.915969E+002,  0.125547E-004
  0.000000E+000, -0.909969E+002,  0.000000E+000
  0.000000E+000, -0.903969E+002,  0.000000E+000
  0.000000E+000, -0.897969E+002,  0.000000E+000
  0.000000E+000, -0.891969E+002,  0.000000E+000
  0.000000E+000, -0.885970E+002,  0.000000E+000
  0.000000E+000, -0.879970E+002,  0.000000E+000
  0.000000E+000, -0.873970E+002,  0.000000E+000
  0.000000E+000, -0.867970E+002,  0.000000E+000
  0.000000E+000, -0.861970E+002,  0.000000E+000
  0.000000E+000, -0.855971E+002,  0.000000E+000
  0.000000E+000, -0.849971E+002,  0.000000E+000
  0.000000E+000, -0.843971E+002,  0.000000E+000
  0.000000E+000, -0.837971E+002,  0.000000E+000
  0.000000E+000, -0.831971E+002,  0.000000E+000
  0.000000E+000, -0.825972E+002,  0.000000E+000
  0.000000E+000, -0.819972E+002,  0.000000E+000
  0.000000E+000, -0.813972E+002,  0.000000E+000
  0.000000E+000, -0.807972E+002,  0.000000E+000
  0.000000E+000, -0.801972E+002,  0.000000E+000
  0.000000E+000, -0.795973E+002,  0.000000E+000
  0.000000E+000, -0.789973E+002,  0.000000E+000
  0.000000E+000, -0.783973E+002,  0.000000E+000
  0.000000E+000, -0.777973E+002,  0.000000E+000
  0.000000E+000, -0.771974E+002,  0.000000E+000
  0.000000E+000, -0.765974E+002,  0.000000E+000
  0.000000E+000, -0.759974E+002,  0.000000E+000
  0.000000E+000, -0.753974E+002,  0.000000E+000
  0.000000E+000, -0.747974E+002,  0.000000E+000
  0.000000E+000, -0.741975E+002,  0.000000E+000
  0.000000E+000, -0.735975E+002,  0.000000E+000
  0.000000E+000, -0.729975E+002,  0.000000E+000
  0.000000E+000, -0.723975E+002,  0.000000E+000
  0.000000E+000, -0.717975E+002,  0.000000E+000
  0.000000E+000, -0.711976E+002,  0.000000E+000
  0.000000E+000, -0.705976E+002,  0.000000E+000
  0.000000E+000, -0.699976E+002,  0.000000E+000
  0.000000E+000, -0.693976E+002,  0.000000E+000
  0.000000E+000, -0.687976E+002,  0.859461E-004
  0.000000E+000, -0.681977E+002,  0.000000E+000
  0.000000E+000, -0.675977E+002,  0.192825E-004
  0.000000E+000, -0.669977E+002,  0.102256E-003
  0.000000E+000, -0.663977E+002,  0.000000E+000
  0.000000E+000, -0.657977E+002,  0.000000E+000
  0.000000E+000, -0.651978E+002,  0.000000E+000
  0.000000E+000, -0.645978E+002,  0.000000E+000
  0.000000E+000, -0.639978E+002,  0.000000E+000
  0.000000E+000, -0.633978E+002,  0.000000E+000
  0.000000E+000, -0.627978E+002,  0.000000E+000
  0.000000E+000, -0.621979E+002,  0.000000E+000
  0.000000E+000, -0.615979E+002,  0.000000E+000
  0.000000E+000, -0.609979E+002,  0.000000E+000
  0.000000E+000, -0.603979E+002,  0.151142E-003
  0.000000E+000, -0.597979E+002,  0.338932E-008
  0.000000E+000, -0.591980E+002,  0.000000E+000
  0.000000E+000, -0.585980E+002,  0.000000E+000
  0.000000E+000, -0.579980E+002,  0.000000E+000
  0.000000E+000, -0.573980E+002,  0.000000E+000
  0.000000E+000, -0.567981E+002,  0.000000E+000
  0.000000E+000, -0.561981E+002,  0.000000E+000
  0.000000E+000, -0.555981E+002,  0.000000E+000
  0.000000E+000, -0.549981E+002,  0.000000E+000
  0.000000E+000, -0.543981E+002,  0.000000E+000
  0.000000E+000, -0.537982E+002,  0.000000E+000
  0.000000E+000, -0.531982E+002,  0.000000E+000
  0.000000E+000, -0.525982E+002,  0.000000E+000
  0.000000E+000, -0.519982E+002,  0.000000E+000
  0.000000E+000, -0.513982E+002,  0.000000E+000
  0.000000E+000, -0.507983E+002,  0.252225E-003
  0.000000E+000, -0.501983E+002,  0.000000E+000
  0.000000E+000, -0.495983E+002,  0.197725E-004
  0.000000E+000, -0.489983E+002,  0.000000E+000
  0.000000E+000, -0.483983E+002,  0.000000E+000
