 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3, 300,   0,   1
 # Q, deltaE, Total
  0.000000E+00, -0.199993E+02,  0.000000E+00
  0.000000E+00, -0.199493E+02,  0.000000E+00
  0.000000E+00, -0.198993E+02,  0.000000E+00
  0.000000E+00, -0.198493E+02,  0.000000E+00
  0.000000E+00, -0.197993E+02,  0.000000E+00
  0.000000E+00, -0.197493E+02,  0.000000E+00
  0.000000E+00, -0.196993E+02,  0.000000E+00
  0.000000E+00, -0.196493E+02,  0.000000E+00
  0.000000E+00, -0.195993E+02,  0.000000E+00
  0.000000E+00, -0.195493E+02,  0.000000E+00
  0.000000E+00, -0.194993E+02,  0.000000E+00
  0.000000E+00, -0.194493E+02,  0.000000E+00
  0.000000E+00, -0.193993E+02,  0.000000E+00
  0.000000E+00, -0.193493E+02,  0.000000E+00
  0.000000E+00, -0.192993E+02,  0.000000E+00
  0.000000E+00, -0.192493E+02,  0.000000E+00
  0.000000E+00, -0.191993E+02,  0.000000E+00
  0.000000E+00, -0.191493E+02,  0.000000E+00
  0.000000E+00, -0.190993E+02,  0.000000E+00
  0.000000E+00, -0.190493E+02,  0.000000E+00
  0.000000E+00, -0.189993E+02,  0.000000E+00
  0.000000E+00, -0.189493E+02,  0.000000E+00
  0.000000E+00, -0.188994E+02,  0.000000E+00
  0.000000E+00, -0.188494E+02,  0.000000E+00
  0.000000E+00, -0.187994E+02,  0.000000E+00
  0.000000E+00, -0.187494E+02,  0.000000E+00
  0.000000E+00, -0.186994E+02,  0.000000E+00
  0.000000E+00, -0.186494E+02,  0.000000E+00
  0.000000E+00, -0.185994E+02,  0.000000E+00
  0.000000E+00, -0.185494E+02,  0.000000E+00
  0.000000E+00, -0.184994E+02,  0.000000E+00
  0.000000E+00, -0.184494E+02,  0.000000E+00
  0.000000E+00, -0.183994E+02,  0.000000E+00
  0.000000E+00, -0.183494E+02,  0.000000E+00
  0.000000E+00, -0.182994E+02,  0.000000E+00
  0.000000E+00, -0.182494E+02,  0.000000E+00
  0.000000E+00, -0.181994E+02,  0.000000E+00
  0.000000E+00, -0.181494E+02,  0.000000E+00
  0.000000E+00, -0.180994E+02,  0.000000E+00
  0.000000E+00, -0.180494E+02,  0.000000E+00
  0.000000E+00, -0.179994E+02,  0.000000E+00
  0.000000E+00, -0.179494E+02,  0.000000E+00
  0.000000E+00, -0.178994E+02,  0.000000E+00
  0.000000E+00, -0.178494E+02,  0.000000E+00
  0.000000E+00, -0.177994E+02,  0.000000E+00
  0.000000E+00, -0.177494E+02,  0.000000E+00
  0.000000E+00, -0.176994E+02,  0.000000E+00
  0.000000E+00, -0.176494E+02,  0.000000E+00
  0.000000E+00, -0.175994E+02,  0.000000E+00
  0.000000E+00, -0.175494E+02,  0.000000E+00
  0.000000E+00, -0.174994E+02,  0.000000E+00
  0.000000E+00, -0.174494E+02,  0.000000E+00
  0.000000E+00, -0.173994E+02,  0.000000E+00
  0.000000E+00, -0.173494E+02,  0.000000E+00
  0.000000E+00, -0.172994E+02,  0.000000E+00
  0.000000E+00, -0.172494E+02,  0.000000E+00
  0.000000E+00, -0.171994E+02,  0.000000E+00
  0.000000E+00, -0.171494E+02,  0.000000E+00
  0.000000E+00, -0.170994E+02,  0.000000E+00
  0.000000E+00, -0.170494E+02,  0.000000E+00
  0.000000E+00, -0.169994E+02,  0.000000E+00
  0.000000E+00, -0.169494E+02,  0.000000E+00
  0.000000E+00, -0.168994E+02,  0.000000E+00
  0.000000E+00, -0.168494E+02,  0.000000E+00
  0.000000E+00, -0.167994E+02,  0.000000E+00
  0.000000E+00, -0.167494E+02,  0.000000E+00
  0.000000E+00, -0.166994E+02,  0.000000E+00
  0.000000E+00, -0.166494E+02,  0.000000E+00
  0.000000E+00, -0.165994E+02,  0.000000E+00
  0.000000E+00, -0.165494E+02,  0.000000E+00
  0.000000E+00, -0.164994E+02,  0.000000E+00
  0.000000E+00, -0.164494E+02,  0.000000E+00
  0.000000E+00, -0.163994E+02,  0.000000E+00
  0.000000E+00, -0.163494E+02,  0.000000E+00
  0.000000E+00, -0.162994E+02,  0.000000E+00
  0.000000E+00, -0.162494E+02,  0.000000E+00
  0.000000E+00, -0.161994E+02,  0.209829E-04
  0.000000E+00, -0.161494E+02,  0.000000E+00
  0.000000E+00, -0.160994E+02,  0.000000E+00
  0.000000E+00, -0.160494E+02,  0.000000E+00
  0.000000E+00, -0.159995E+02,  0.000000E+00
  0.000000E+00, -0.159495E+02,  0.000000E+00
  0.000000E+00, -0.158995E+02,  0.000000E+00
  0.000000E+00, -0.158495E+02,  0.000000E+00
  0.000000E+00, -0.157995E+02,  0.000000E+00
  0.000000E+00, -0.157495E+02,  0.000000E+00
  0.000000E+00, -0.156995E+02,  0.000000E+00
  0.000000E+00, -0.156495E+02,  0.000000E+00
  0.000000E+00, -0.155995E+02,  0.000000E+00
  0.000000E+00, -0.155495E+02,  0.000000E+00
  0.000000E+00, -0.154995E+02,  0.000000E+00
  0.000000E+00, -0.154495E+02,  0.000000E+00
  0.000000E+00, -0.153995E+02,  0.000000E+00
  0.000000E+00, -0.153495E+02,  0.000000E+00
  0.000000E+00, -0.152995E+02,  0.000000E+00
  0.000000E+00, -0.152495E+02,  0.000000E+00
  0.000000E+00, -0.151995E+02,  0.000000E+00
  0.000000E+00, -0.151495E+02,  0.000000E+00
  0.000000E+00, -0.150995E+02,  0.000000E+00
  0.000000E+00, -0.150495E+02,  0.000000E+00
  0.000000E+00, -0.149995E+02,  0.000000E+00
  0.000000E+00, -0.149495E+02,  0.000000E+00
  0.000000E+00, -0.148995E+02,  0.000000E+00
  0.000000E+00, -0.148495E+02,  0.000000E+00
  0.000000E+00, -0.147995E+02,  0.000000E+00
  0.000000E+00, -0.147495E+02,  0.000000E+00
  0.000000E+00, -0.146995E+02,  0.000000E+00
  0.000000E+00, -0.146495E+02,  0.000000E+00
  0.000000E+00, -0.145995E+02,  0.000000E+00
  0.000000E+00, -0.145495E+02,  0.000000E+00
  0.000000E+00, -0.144995E+02,  0.000000E+00
  0.000000E+00, -0.144495E+02,  0.000000E+00
  0.000000E+00, -0.143995E+02,  0.000000E+00
  0.000000E+00, -0.143495E+02,  0.000000E+00
  0.000000E+00, -0.142995E+02,  0.000000E+00
  0.000000E+00, -0.142495E+02,  0.000000E+00
  0.000000E+00, -0.141995E+02,  0.000000E+00
  0.000000E+00, -0.141495E+02,  0.000000E+00
  0.000000E+00, -0.140995E+02,  0.000000E+00
  0.000000E+00, -0.140495E+02,  0.000000E+00
  0.000000E+00, -0.139995E+02,  0.000000E+00
  0.000000E+00, -0.139495E+02,  0.000000E+00
  0.000000E+00, -0.138995E+02,  0.000000E+00
  0.000000E+00, -0.138495E+02,  0.000000E+00
  0.000000E+00, -0.137995E+02,  0.000000E+00
  0.000000E+00, -0.137495E+02,  0.000000E+00
  0.000000E+00, -0.136995E+02,  0.000000E+00
  0.000000E+00, -0.136495E+02,  0.000000E+00
  0.000000E+00, -0.135995E+02,  0.000000E+00
  0.000000E+00, -0.135495E+02,  0.000000E+00
  0.000000E+00, -0.134995E+02,  0.000000E+00
  0.000000E+00, -0.134495E+02,  0.000000E+00
  0.000000E+00, -0.133995E+02,  0.000000E+00
  0.000000E+00, -0.133495E+02,  0.000000E+00
  0.000000E+00, -0.132995E+02,  0.000000E+00
  0.000000E+00, -0.132495E+02,  0.000000E+00
  0.000000E+00, -0.131995E+02,  0.000000E+00
  0.000000E+00, -0.131495E+02,  0.000000E+00
  0.000000E+00, -0.130996E+02,  0.000000E+00
  0.000000E+00, -0.130496E+02,  0.000000E+00
  0.000000E+00, -0.129996E+02,  0.000000E+00
  0.000000E+00, -0.129496E+02,  0.000000E+00
  0.000000E+00, -0.128996E+02,  0.000000E+00
  0.000000E+00, -0.128496E+02,  0.000000E+00
  0.000000E+00, -0.127996E+02,  0.000000E+00
  0.000000E+00, -0.127496E+02,  0.000000E+00
  0.000000E+00, -0.126996E+02,  0.000000E+00
  0.000000E+00, -0.126496E+02,  0.000000E+00
  0.000000E+00, -0.125996E+02,  0.000000E+00
  0.000000E+00, -0.125496E+02,  0.000000E+00
  0.000000E+00, -0.124996E+02,  0.000000E+00
  0.000000E+00, -0.124496E+02,  0.000000E+00
  0.000000E+00, -0.123996E+02,  0.000000E+00
